DGP,$T$,Est.,Cov95,Size5,Power,Net,Size$^P$,Cov$^P$,Size$|\hat f\!<\!0$,Cov$|\hat f\!<\!0$
DGP1,250,E1,0.926,0.074,0.1515,0.0775,0.074,0.926,---,---
DGP1,250,E3h,0.9095,0.0905,0.175,0.0845,0.0905,0.9095,"0.129 [0.074,0.217]","0.871 [0.783,0.926]"
DGP1,250,E3s,0.9255,0.0745,0.154,0.0795,0.0745,0.9255,---,---
DGP1,250,E3h_avg,0.925,0.075,0.1535,0.0785,0.075,0.925,---,---
DGP1,250,E3s_avg,0.926,0.074,0.1475,0.0735,0.074,0.926,---,---
DGP1,250,E4h,0.927,0.073,0.141,0.068,0.073,0.927,"0.078 [0.040,0.147]","0.922 [0.853,0.960]"
DGP1,250,E4s,0.923,0.077,0.1445,0.0675,0.077,0.923,---,---
DGP1,250,E4h_avg,0.9295,0.0705,0.1325,0.062,0.0705,0.9295,"0.182 [0.051,0.477]","0.818 [0.523,0.949]"
DGP1,250,E4s_avg,0.918,0.082,0.151,0.069,0.082,0.918,---,---
DGP1,500,E1,0.937,0.063,0.1275,0.0645,0.063,0.937,---,---
DGP1,500,E3h,0.923,0.077,0.1375,0.0605,0.077,0.923,"0.000 [0.000,0.354]","1.000 [0.646,1.000]"
DGP1,500,E3s,0.937,0.063,0.127,0.064,0.063,0.937,---,---
DGP1,500,E3h_avg,0.9375,0.0625,0.126,0.0635,0.0625,0.9375,---,---
DGP1,500,E3s_avg,0.936,0.064,0.1255,0.0615,0.064,0.936,---,---
DGP1,500,E4h,0.938,0.062,0.1185,0.0565,0.062,0.938,"0.138 [0.055,0.306]","0.862 [0.694,0.945]"
DGP1,500,E4s,0.9325,0.0675,0.1275,0.06,0.0675,0.9325,---,---
DGP1,500,E4h_avg,0.9375,0.0625,0.1185,0.056,0.0625,0.9375,---,---
DGP1,500,E4s_avg,0.929,0.071,0.1315,0.0605,0.071,0.929,---,---
DGP1,1000,E1,0.939,0.061,0.111,0.05,0.061,0.939,---,---
DGP1,1000,E3h,0.94,0.06,0.123,0.063,0.06,0.94,"0.000 [0.000,0.793]","1.000 [0.207,1.000]"
DGP1,1000,E3s,0.94,0.06,0.113,0.053,0.06,0.94,---,---
DGP1,1000,E3h_avg,0.943,0.057,0.11,0.053,0.057,0.943,---,---
