DGP,$T$,Est.,$\Pr(\hat f<0)$,$\Pr(\hat\lambda<0)$,$\bar f_{\min}$,$\bar\lambda_{\min}$,Neg.\ eig.,Neg.\ spec.,Disc.
DGP1,250,E1,0.0,0.0,0.06787041315312006,1.3772728168089838,0.0,0.0,
DGP1,250,E3h,0.0425,0.006,0.03081562861788284,1.0238182204411785,0.0027567839262407964,3.7922735448374835e-05,1.129054459758468
DGP1,250,E3s,0.0,0.0,0.06733902923768978,1.3689476637910583,0.0,0.0,0.7096385717078353
DGP1,250,E3h_avg,0.0,0.0,0.05320823195353911,1.2943351076068703,0.0,0.0,1.129054459758468
DGP1,250,E3s_avg,0.0,0.0,0.08003898827641094,1.4455624606229356,0.0,0.0,0.7096385717078353
DGP1,250,E4h,0.051,0.0,0.03885722738274357,1.4190938862728018,0.0,0.0001896761122676517,0.8247649680342942
DGP1,250,E4s,0.0,0.0,0.08927135496479827,1.4823857116078745,0.0,0.0,0.55399522210936
DGP1,250,E4h_avg,0.0055,0.0,0.040270504821240095,1.5220848005999283,0.0,2.8074761489371214e-06,0.8247649680342942
DGP1,250,E4s_avg,0.0,0.0,0.09790821913689819,1.4870939610551566,0.0,0.0,0.55399522210936
DGP1,500,E1,0.0,0.0,0.06734429275603301,1.6528637819058876,0.0,0.0,
DGP1,500,E3h,0.0035,0.001,0.037857452017346686,1.362072164207214,0.00044262600539691593,2.924010253085649e-06,1.0383258859895277
DGP1,500,E3s,0.0,0.0,0.06619403180798303,1.6394859427628785,0.0,0.0,0.7236240376198582
DGP1,500,E3h_avg,0.0,0.0,0.056091452677105295,1.5991070965562235,0.0,0.0,1.0383258859895277
DGP1,500,E3s_avg,0.0,0.0,0.07821078539361745,1.7031844564926417,0.0,0.0,0.7236240376198582
DGP1,500,E4h,0.0145,0.0,0.04592551468553865,1.7203301179724926,0.0,4.355018136391765e-05,0.7860197313709484
DGP1,500,E4s,0.0,0.0,0.08805098129111302,1.7270852411157334,0.0,0.0,0.5617882000420481
DGP1,500,E4h_avg,0.0,0.0,0.04446564456352106,1.7982531271265296,0.0,0.0,0.7860197313709484
DGP1,500,E4s_avg,0.0,0.0,0.09638055553517035,1.7120335174575139,0.0,0.0,0.5617882000420481
DGP1,1000,E1,0.0,0.0,0.06541661931253206,1.8254554863301329,0.0,0.0,
DGP1,1000,E3h,0.001,0.0,0.04256651950678005,1.6035236890045985,0.0,2.1463229533229555e-07,0.8862297828403598
DGP1,1000,E3s,0.0,0.0,0.06456598798450548,1.8148323765544931,0.0,0.0,0.6833439958670685
DGP1,1000,E3h_avg,0.0,0.0,0.057235284731578406,1.7944812793184834,0.0,0.0,0.8862297828403598
