DGP,$T$,Est.,Size,Size$^P$,$\Delta$S,Cov,Cov$^P$,$\Delta$C,Dist.
DGP1,250,E0,0.095,0.0945,-0.0005000000000000004,0.905,0.9055,0.0004999999999999449,0.003884236254876642
DGP1,250,E3h,0.0905,0.0905,0.0,0.9095,0.9095,0.0,0.0024917199327485705
DGP1,250,E3h_avg,0.075,0.075,0.0,0.925,0.925,0.0,2.8224575820925843e-15
DGP1,250,E4h,0.073,0.073,0.0,0.927,0.927,0.0,2.7402127912416177e-15
DGP1,250,E4h_avg,0.0705,0.0705,0.0,0.9295,0.9295,0.0,2.536807296619294e-15
DGP1,500,E0,0.0705,0.0705,0.0,0.9295,0.9295,0.0,0.00036772456443916424
DGP1,500,E3h,0.077,0.077,0.0,0.923,0.923,0.0,0.00044262600539988074
DGP1,500,E3h_avg,0.0625,0.0625,0.0,0.9375,0.9375,0.0,2.8644055482374756e-15
DGP1,500,E4h,0.062,0.062,0.0,0.938,0.938,0.0,2.8028063357826496e-15
DGP1,500,E4h_avg,0.0625,0.0625,0.0,0.9375,0.9375,0.0,2.588942634279289e-15
DGP1,1000,E0,0.064,0.064,0.0,0.936,0.936,0.0,2.8551937016153815e-15
DGP1,1000,E3h,0.06,0.06,0.0,0.94,0.94,0.0,2.9713315935611724e-15
DGP1,1000,E3h_avg,0.057,0.057,0.0,0.943,0.943,0.0,2.695393851580004e-15
DGP1,1000,E4h,0.057,0.057,0.0,0.943,0.943,0.0,2.742920811375074e-15
DGP1,1000,E4h_avg,0.056,0.056,0.0,0.944,0.944,0.0,2.5944068032857864e-15
DGP2,250,E0,0.0805,0.0765,-0.0040000000000000036,0.9195,0.9235,0.0040000000000000036,0.05083922566167763
DGP2,250,E3h,0.0805,0.0785,-0.0020000000000000018,0.9195,0.9215,0.0020000000000000018,0.060695018155737884
DGP2,250,E3h_avg,0.061,0.061,0.0,0.939,0.939,0.0,1.3592225390902632e-14
DGP2,250,E4h,0.0605,0.0605,0.0,0.9395,0.9395,0.0,0.006280616199464207
DGP2,250,E4h_avg,0.051,0.051,0.0,0.949,0.949,0.0,1.1732828060364228e-14
DGP2,500,E0,0.0675,0.0665,-0.0010000000000000009,0.9325,0.9335,0.0010000000000000009,0.009590122278884844
DGP2,500,E3h,0.0655,0.0655,0.0,0.9345,0.9345,0.0,0.008286640312104139
DGP2,500,E3h_avg,0.0525,0.0525,0.0,0.9475,0.9475,0.0,1.3456180902276487e-14
DGP2,500,E4h,0.0535,0.0535,0.0,0.9465,0.9465,0.0,0.00044479857084317144
DGP2,500,E4h_avg,0.0495,0.0495,0.0,0.9505,0.9505,0.0,1.130998593907043e-14
DGP2,1000,E0,0.043,0.043,0.0,0.957,0.957,0.0,1.3978297262693336e-14
DGP2,1000,E3h,0.048,0.048,0.0,0.952,0.952,0.0,1.344468698070785e-14
DGP2,1000,E3h_avg,0.045,0.045,0.0,0.955,0.955,0.0,1.2814961808531899e-14
DGP2,1000,E4h,0.045,0.045,0.0,0.955,0.955,0.0,1.2023807304792423e-14
DGP2,1000,E4h_avg,0.041,0.041,0.0,0.959,0.959,0.0,1.1751644465453786e-14
